	solver_type	prot_per_class	num_unlearned_samples	iter	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
15	wgd	2	2342	0	0.0008497397104899	0.0006837288538614	0.05356	4.88658	4.8841	9589	5857.0	5936.0	5828	29	108	5243.0	4504	1353	739	0.6578	0.6598	0.605	0.7429	0.7436	0.6631	2927	1778.0	1799.0	1773	5	26	1595.0	1363	415	232	0.6605	0.6627	0.6141	0.7469	0.7475	0.6714
16	wgd	2	2342	1	0.0008170962333679	0.0006910681724548	0.01699	4.88699	4.88691	9588	5898.0	5911.0	5889	9	22	5183.0	4376	1522	807	0.6601	0.6605	0.5944	0.7443	0.7447	0.625	2927	1778.0	1782.0	1776	2	6	1576.0	1314	464	262	0.6605	0.6614	0.5973	0.7469	0.7471	0.6322
17	wgd	2	2342	2	0.0009042739868164	0.0006691217422485	0.05141	4.88692	4.88421	9591	5892.0	5892.0	5877	15	15	5171.0	4433	1459	738	0.6602	0.6607	0.5983	0.7441	0.7444	0.6281	2927	1778.0	1779.0	1773	5	6	1574.0	1329	449	245	0.6605	0.6612	0.6084	0.7469	0.7469	0.6279
0	wgd	3	2	0	0.0011643290519714	0.0004067142804463	0.04418	4.89157	4.89251	11706	7215.0	7212.0	7202	13	10	5048.0	3768	3447	1280	0.6608	0.6611	0.5118	0.7435	0.744	0.5761	2927	1785.0	1782.0	1781	4	1	1251.0	925	860	326	0.6616	0.6609	0.5131	0.747	0.7474	0.5689
1	wgd	3	2	1	0.0011603832244873	0.0004044691721598	0.04403	4.89072	4.88976	11706	7215.0	7211.0	7194	21	17	4979.0	3745	3470	1234	0.6608	0.6609	0.5151	0.7434	0.7434	0.5617	2927	1785.0	1781.0	1777	8	4	1224.0	905	880	319	0.6616	0.6607	0.5141	0.747	0.747	0.5497
2	wgd	3	2	2	0.0011101762453715	0.0003904779752095	0.02394	4.88101	4.88179	11706	7215.0	7204.0	7197	18	7	6646.0	6238	977	408	0.6609	0.6598	0.6545	0.7435	0.7436	0.7375	2927	1785.0	1782.0	1781	4	1	1640.0	1549	236	91	0.6616	0.6609	0.6562	0.747	0.747	0.7458
3	wgd	3	12	0	0.0012310663859049	0.0006619493166605	0.03856	4.89348	4.89283	11696	7209.0	7216.0	7196	13	20	4786.0	2979	4230	1807	0.6608	0.6605	0.4592	0.7436	0.7436	0.5463	2927	1785.0	1784.0	1782	3	2	1203.0	758	1027	445	0.6616	0.6613	0.4638	0.747	0.7469	0.5467
4	wgd	3	12	1	0.0011345744132995	0.0006698648134867	0.04607	4.90085	4.90091	11696	7208.0	7211.0	7197	11	14	5723.0	2741	4467	2982	0.6606	0.6606	0.468	0.7433	0.7434	0.4298	2927	1785.0	1787.0	1783	2	4	1432.0	687	1098	745	0.6616	0.662	0.4674	0.747	0.747	0.4311
5	wgd	3	12	2	0.0011181076367696	0.0007140239079793	0.02498	4.88992	4.88978	11696	7208.0	7206.0	7198	10	8	4445.0	3058	4150	1387	0.6608	0.6609	0.4661	0.7434	0.7436	0.5364	2927	1785.0	1782.0	1782	3	0	1122.0	766	1019	356	0.6616	0.6609	0.4848	0.747	0.7471	0.5569
6	wgd	3	118	0	0.0011812011400858	0.000841200351715	0.04192	4.88332	4.88643	11591	7146.0	7120.0	7107	39	13	6503.0	5550	1596	953	0.6609	0.6606	0.6217	0.7436	0.7437	0.6232	2927	1785.0	1781.0	1776	9	5	1613.0	1385	400	228	0.6616	0.6622	0.6221	0.747	0.7472	0.6338
