	solver_type	prot_per_class	num_unlearned_samples	iter	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
14	lbfgs	3	3295	2	0.0437462925910949	0.0006675163904825	9381.9724	17547.22105	19302.5949	29823	26458.0	26458.0	26458	0	0	26461.0	26458	0	3	0.5	0.5	0.5004	0.7105	0.7251	0.7506	8238	7303.0	7303.0	7303	0	0	7305.0	7303	0	2	0.5	0.5	0.5011	0.7153	0.7238	0.7491
15	lbfgs	3	6590	0	0.0305834650993347	0.0007500251134236	7865.45433	17547.22106	15149.09476	26986	23984.0	23984.0	23984	0	0	23987.0	23984	0	3	0.5	0.5	0.5005	0.7107	0.6118	0.7514	8238	7303.0	7303.0	7303	0	0	7305.0	7303	0	2	0.5	0.5	0.5011	0.7153	0.6226	0.7493
16	lbfgs	3	6590	1	0.0343768318494161	0.0007331093152364	8612.72845	17547.22106	18546.30772	26961	23916.0	23916.0	23916	0	0	23918.0	23916	0	2	0.5	0.5	0.5003	0.7112	0.7037	0.7515	8238	7303.0	7303.0	7303	0	0	7305.0	7303	0	2	0.5	0.5	0.5011	0.7153	0.705	0.7493
17	lbfgs	3	6590	2	0.0362345695495605	0.0007126569747924	10559.61056	17547.24207	22067.47897	26995	23967.0	23967.0	23967	0	0	23497.0	23398	569	99	0.5	0.5	0.5045	0.713	0.7224	0.4671	8238	7303.0	7303.0	7303	0	0	7151.0	7126	177	25	0.5	0.5	0.5013	0.7153	0.7192	0.4709
0	wgd	1	4	0	0.0080362319946289	0.0007076501846313	0.00049	5.06238	5.06232	32946	21809.0	21808.0	21808	1	0	20246.0	19951	1858	295	0.6904	0.6902	0.6794	0.7387	0.7387	0.7193	8238	5449.0	5449.0	5449	0	0	5075.0	5001	448	74	0.6846	0.6846	0.6767	0.7318	0.7318	0.7114
1	wgd	1	4	1	0.0053240100542704	0.0005258758862813	0.00044	5.05955	5.05962	32946	21809.0	21809.0	21809	0	0	21074.0	18573	3236	2501	0.6904	0.6904	0.6512	0.7387	0.7387	0.7087	8238	5449.0	5449.0	5449	0	0	5232.0	4627	822	605	0.6846	0.6846	0.644	0.7318	0.7318	0.7058
2	wgd	1	4	2	0.0055081566174825	0.0004100362459818	0.00015	5.05951	5.05948	32946	21809.0	21809.0	21809	0	0	20523.0	20342	1467	181	0.6903	0.6903	0.6896	0.7386	0.7385	0.7441	8238	5449.0	5448.0	5448	1	0	5135.0	5090	359	45	0.6846	0.6845	0.684	0.7318	0.7318	0.7353
3	wgd	1	33	0	0.0066489577293396	0.0006455063819885	0.00085	5.06026	5.0602	32917	21792.0	21792.0	21792	0	0	13926.0	8901	12891	5025	0.6904	0.6904	0.4732	0.7386	0.7386	0.5863	8238	5449.0	5448.0	5448	1	0	3361.0	2132	3317	1229	0.6846	0.684	0.4717	0.7318	0.7318	0.5869
4	wgd	1	33	1	0.0057306766510009	0.0003815054893493	0.00031	5.05574	5.05566	32917	21789.0	21788.0	21788	1	0	20757.0	18980	2809	1777	0.6903	0.6903	0.6721	0.7386	0.7386	0.7428	8238	5449.0	5448.0	5448	1	0	5269.0	4782	667	487	0.6846	0.6845	0.6774	0.7318	0.7318	0.7407
5	wgd	1	33	2	0.0054069558779398	0.0006535768508911	0.001	5.0552	5.0548	32917	21790.0	21789.0	21789	1	0	23449.0	20412	1378	3037	0.6904	0.6902	0.6825	0.7386	0.7386	0.7387	8238	5449.0	5449.0	5449	0	0	5890.0	5126	323	764	0.6846	0.6846	0.69	0.7318	0.7318	0.7362
